symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
IFNAR2	0.07585626517403506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.06383273374922022	No data	No data	1	1	1	0	0	0	0	No data	-0.35013789299503584	-0.1036059307249762	0	No data	No data	0	-1	-1
ITK	0.07573403385475144	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	0.051705765004698714	No data	1	0	0	1	1	1	0.7096800000000002	1	-0.5128516271373414	-0.12152563634765468	0	No data	No data	0	1	0.5
IFNAR1	0.07501957744745719	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03630697819069404	No data	No data	1	1	0	0	1	0	0	No data	0.8099282956425813	-0.9420523855689313	0	No data	No data	0	-1	-1
BTK	0.07487266945522002	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.03147392834968165	No data	No data	1	1	0	1	1	1	0.9165399999999998	1	No data	-0.5995433845199712	0	-1	-1	0	0.5	0
POLD1	0.07483992057365212	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	0	1	0	0.47605999999999965	No data	-0.1565361279646994	-0.8627997175302484	-1	No data	-1	0	-1	0
BMX	0.07458983286391652	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.0221690340289899	No data	1	1	0	1	1	1	0.3851849999999999	1	No data	0	0	No data	No data	0	1	0
SLC6A3	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	1	1	0	0.67742	0	-0.8035300606729179	-0.877566895217158	0	-1	No data	-0.16129	1	1
RARA	0.07447034071896741	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.01823792392834863	No data	No data	1	0	0	1	1	1	0.91342	0	-0.9211252068394925	-0.7674295287677559	0	-1	No data	-0.3127700000000001	-1	-1
SCN4A	0.07440951421741902	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	0.01623682440230527	No data	1	0	0	1	1	0	0.626905	No data	-0.5344732487589631	-0.8611015622174975	0	No data	No data	-0.28240750000000003	0.75	0.5
TLR7	0.07437794575529624	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.015198269940290528	No data	No data	1	0	0	1	1	0	0.03718000000000003	0	No data	-0.8571950431104471	0	No data	No data	0	0.5	0
RARB	0.07428555079162506	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	0	0.921875	0	-0.7118587975730832	-0.7107767950484414	0	-1	No data	-0.36941999999999986	-1	0
TXK	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.14611000000000018	No data	-0.21996690568119137	0	0	No data	No data	0	0.5	0
POLE2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.5066400000000002	No data	0.9630446773303916	-0.8095062989495139	-1	No data	No data	No data	0.5	0
PRIM2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.46955000000000024	No data	-0.07479316050744622	No data	No data	No data	No data	No data	0.5	-1
POLD3	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	No data	No data	-0.7831218974076117	-0.8333185574106167	-1	No data	No data	No data	-1	-1
POLA1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.4005450000000003	No data	No data	0	-1	No data	No data	0	-1	0
POLD4	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.1588799999999999	No data	0.47931605074462214	0	0	No data	No data	No data	0.5	-1
IGF1R	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	1	0.8061450000000001	1	-0.8034197462768892	-0.8135052838576268	0	-1	No data	0	-1	0
PRIM1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	No data	No data	0	0	0	0.5119050000000002	No data	-0.2479867622724765	-0.5293645670915037	-1	No data	No data	No data	0.5	-1
RRM1	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	1	1	0.88005	No data	-0.9288472145615003	-0.5716429955725768	-1	-1	No data	No data	-1	-1
