symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
GLP1R	0.4202885246786495	0.4040025895672027	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5792229543910723	No data	No data	No data	No data	No data	No data	0.5003598375987077	No data	No data	1	1	0	1	1	0	0.60043	No data	-0.6955322669608384	-0.271069112694145	0	-1	No data	0	0.5	0.5
ESR2	0.41262145004205636	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6712078681365474	No data	No data	No data	No data	No data	No data	0.15046171112163684	No data	No data	1	0	0	1	1	1	0.43395999999999973	0	0.05802537231108662	-0.9721646958413429	0	-1	No data	0	0.5	0
ADORA2A	0.41082767581627894	0.16928967379808876	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6214754912316203	No data	No data	No data	No data	No data	No data	0.5392089727615689	No data	No data	1	1	0	1	1	1	0.05339999999999989	1	-0.21213458356315495	-0.9333801329396502	0	-1	No data	0	0.75	0
PGR	0.41079754659908324	0.07087153355977861	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.656466419056521	No data	No data	No data	No data	No data	No data	0.06959108597033886	No data	No data	1	0	0	1	1	1	0.008574999999999732	0	-0.6275785990071705	-0.8140812228572131	0	-1	No data	0	0.75	0
NPC1L1	0.41048493408717696	0.0440124390869124	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6514978982167816	No data	No data	No data	No data	No data	No data	0.2804233043392533	No data	0.29472485068211385	1	1	0	1	1	0	0	No data	-0.024489795918367308	-0.7848218948782184	0	No data	No data	0	0.75	0.5
INSR	0.4090321036101932	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6630230280720844	No data	No data	No data	No data	No data	No data	0.1960744658067567	No data	No data	1	1	0	1	1	1	0.7250349999999998	1	-0.6252619966905681	-0.9211979829372365	0	-1	No data	0	-1	-1
FKBP1A	0.40073050952158834	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6585633286548443	No data	No data	No data	No data	No data	No data	0.012158615952232422	No data	No data	1	0	0	1	1	1	0.86111	1	0.31991174848317705	-0.9406943921665206	0	No data	No data	-0.88426	-1	-1
TUBB	0.39690960297940003	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	0.18676985059957027	No data	No data	1	0	0	1	1	0	1	1	-0.9680088251516823	No data	-1	No data	No data	-0.9380624999999998	-1	-1
PLAT	0.3958717962522976	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6228419891197061	No data	No data	No data	No data	No data	No data	0.566741118838713	No data	No data	1	0	1	1	1	0	0	No data	-0.2811913954771098	-0.9174954239524569	0	-1	No data	0	0.5	0
TUBB6	0.3921563954038718	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	0.030396539880581056	No data	No data	1	0	0	1	1	0	0.8654699999999999	No data	-0.24544953116381685	0	0	No data	No data	-0.7925999999999999	-1	-1
TUBB2B	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.8560397131825703	-0.8099793946210212	0	No data	No data	-0.9887650000000001	1	0
TUBB8	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	No data	No data	0.49630446773303927	No data	No data	No data	No data	-0.90428	0.5	0.5
TUBB2A	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.7409817981246553	-0.2552264460216541	0	No data	No data	-0.9887650000000001	0.75	-1
TUBB1	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.5898000000000003	No data	0.7351351351351352	-0.08945751874593927	0	No data	No data	-0.45676249999999996	0.5	0.5
TUBB4A	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.5628240485383342	-0.7242999594162619	0	No data	No data	-0.9662175000000002	1	0
TUBB3	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.9888899999999999	1	-0.44920022062879206	-0.6714572120299752	0	No data	No data	-0.7833324999999999	1	0
TUBB4B	0.39123244576716004	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6435476657938629	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	1	No data	-0.8172090457804744	-0.7065783296689251	0	No data	No data	-0.9606750000000002	-1	-1
F10	0.3874067465708862	0.035447297866043365	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6248881835517214	No data	No data	No data	No data	No data	No data	0.15771028927349603	No data	No data	1	0	1	1	1	0	0	No data	-0.0005515719801434393	-0.8799697555337649	0	No data	No data	0	0.5	0
AGTR1	0.37995051153958675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.5868220893612175	No data	No data	No data	No data	No data	No data	0.7633530260109422	No data	No data	1	0	0	1	1	0	0.7214500000000001	No data	0.2520683949255378	-0.9648072264487106	0	-1	No data	0	0.5	0
ACLY	0.3727919478586483	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.607930797611621	No data	No data	No data	No data	No data	No data	0.10567298733888202	No data	No data	1	0	0	1	1	1	0.9046300000000003	No data	-0.7934914506343078	No data	0	-1	No data	No data	-1	-1
THRB	0.37199238984722693	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.6058199267865807	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	1	0	0	1	1	1	0.08893500000000003	0	-0.7619415333701048	-0.8813494094413554	0	No data	No data	-0.06724499999999996	-1	0
