gene,free:hom_g2,free:hom_e2,free:v,free:w,free:V_BIN,free:V_BMem,free:V_CD4ET,free:V_CD4NC,free:V_CD8ET,free:V_CD8NC,free:V_NK,free:W_BIN,free:W_BMem,free:W_CD4ET,free:W_CD4NC,free:W_CD8ET,free:W_CD8NC,free:W_NK,free:ct_beta_BIN,free:ct_beta_BMem,free:ct_beta_CD4ET,free:ct_beta_CD4NC,free:ct_beta_CD8ET,free:ct_beta_CD8NC,free:ct_beta_NK,p:free:hom_g2,p:free:hom_e2,p:free:V,p:free:W,p:free:vc_BIN,p:free:vc_BMem,p:free:vc_CD4ET,p:free:vc_CD4NC,p:free:vc_CD8ET,p:free:vc_CD8NC,p:free:vc_NK
ENSG00000182372,0.110179,0.238919,0.26943,1.63448,1.79919,0.458286,-0.0231892,-0.0820332,-0.0871111,-0.129176,-0.0499584,3.78897,7.69315,-0.239203,0.014252,-0.0918794,0.077906,0.198153,3.92479,4.65589,-0.482181,-0.213175,-0.841556,-0.477511,0.556135,0.00494378,0.00166417,0.0261838,7.77658e-07,0.00116867,0.196185,0.609188,0.97825,0.950722,0.998675,0.757821
ENSG00000104728,0.0275975,0.136723,0.0463101,0.635134,-0.194628,0.0517459,-0.0327328,0.300105,-0.00968657,0.114236,0.0951309,-0.072417,0.49762,1.6055,0.798141,0.0569308,0.789232,0.770934,-0.0136029,-0.116376,-0.233874,0.0976258,-0.794332,-0.393415,1.24522,0.0961281,0.008102,0.00324138,0.000745827,0.958511,0.409767,0.600538,2.43006e-05,0.584458,0.116986,0.276226
ENSG00000036448,0.184333,0.0278673,2.37897,0.766092,-0.176071,-0.177251,-0.139253,-0.127948,-0.0352572,-0.159873,17.4685,-0.0422826,-0.0414028,-0.0294455,-0.0407028,0.364168,-0.0304256,5.18273,-0.38224,-0.41466,-0.279101,-0.261242,-0.139283,-0.295832,3.80761,1.95082e-08,0.163018,3.63329e-17,3.95127e-08,1,1,1,0.999999,0.866086,1,4.41144e-18
ENSG00000147316,0.015811,0.134111,-0.0151975,-0.124948,0.00780495,-0.0814632,-0.0243712,0.00883844,-0.0719923,-0.0228597,0.0776608,-0.376413,-1.17158,0.569583,-0.180646,0.56138,-0.180396,-0.0965628,0.162987,-0.0442913,-0.516662,-0.745243,-0.137449,-0.498353,0.00997406,0.261351,0.0159652,0.967309,0.0892567,0.484401,0.639409,0.56353,0.405447,0.823315,0.640971,0.262003
ENSG00000091879,0.109287,0.178823,-0.0170957,0.0731586,-0.18245,0.341917,-0.0458498,-0.0733953,0.081049,-0.0799308,-0.161009,-0.315139,1.82049,-0.866058,-0.202086,-0.0182429,-0.276526,0.369675,1.22019,0.518824,-0.446117,-0.444932,-0.0409171,-0.247754,0.333932,0.0140165,0.0243358,0.430009,0.153558,0.78617,0.245623,0.633227,0.933185,0.224605,0.824926,0.951982
ENSG00000155189,0.0345657,0.023361,0.0535484,0.506512,0.148633,0.203672,0.0908648,-0.0361273,0.00167228,-0.00216573,-0.0317099,2.50381,0.902318,-0.067803,-0.0381013,0.0679263,-0.0279088,0.205342,6.27556,2.67223,-0.315819,-0.816556,-0.950921,-0.433336,-1.14898,0.152882,0.377762,0.879601,0.527034,0.405598,0.305575,0.20315,0.858324,0.486811,0.512273,0.749836
ENSG00000147324,-0.0187736,0.0179502,0.256934,0.435534,0.330559,0.601045,0.5174,0.260893,-0.00414412,0.0542473,0.0385351,0.157435,0.165284,-0.0987979,1.10619,0.548678,1.18094,-0.0109912,-1.76348,-1.08176,1.41663,1.08162,-1.33301,0.438776,-1.5234,0.82298,0.353537,0.0179264,5.07982e-08,0.00668904,0.0241647,0.0376188,0.00728012,0.589684,0.243774,0.222386
ENSG00000104626,-0.0131573,0.0631436,0.174761,-0.0765065,-0.0140001,0.339108,0.0316057,-0.00922243,0.127356,-0.0124154,0.760897,0.113592,-0.0724754,-0.222681,-0.148206,-0.044068,-0.158872,-0.00283439,0.131724,0.180581,0.794476,0.167777,0.658925,0.373974,1.47325,0.667321,0.171998,0.409673,0.898272,0.553226,0.181958,0.434288,0.669153,0.111808,0.600351,0.0111247
ENSG00000173281,0.00765539,-0.0209141,-0.0511003,0.093831,-0.130115,-0.00103822,-0.100044,-0.0078831,-0.0129611,-0.0630785,-0.0425819,0.816051,-0.72465,0.339101,0.163166,-0.746278,0.622681,0.186746,-0.138738,-0.0368796,0.135045,0.113659,0.0451155,0.245001,-0.109383,0.37258,0.590947,0.604714,0.161166,0.912917,0.502609,0.871287,0.615912,0.578744,0.899341,0.831255
ENSG00000173273,0.00604826,0.0889921,0.00164498,-0.038253,-0.0150333,0.0025184,-0.0706589,0.0591649,-0.00389185,0.00695823,0.0324574,0.365526,-0.414804,-0.226573,-0.123393,0.130334,0.0929395,-0.0918007,-0.51202,-0.0263582,-0.447845,-0.704697,0.182962,-0.492389,0.897536,0.407242,0.140656,0.917084,0.959118,0.576854,0.493738,0.835624,0.120472,0.530152,0.441641,0.388286
